step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
29;0;0;29;0;51;51;12.46;0.90;102.72;0.78;22;0;0;182.00;0
29;0;0;29;0;51;51;12.25;0.88;102.72;0.78;22;0;0;183.00;0
29;0;1;29;1;52;52;11.50;0.83;102.72;0.79;23;0;0;184.00;0
29;0;0;29;0;52;52;11.19;0.81;102.72;0.79;23;0;0;185.00;0
29;0;0;29;0;52;52;11.26;0.81;102.72;0.79;23;0;0;186.00;0
29;0;0;29;1;52;52;11.05;0.80;102.72;0.79;23;0;0;187.00;0
29;0;1;29;2;53;53;10.61;0.76;102.72;0.79;24;0;0;188.00;0
29;0;1;29;2;53;53;10.78;0.78;102.72;0.79;24;0;0;189.00;0
29;0;0;29;2;53;53;10.70;0.77;102.72;0.79;24;0;0;190.00;0
29;0;0;29;3;54;54;10.06;0.72;102.72;0.80;25;0;0;191.00;0
29;0;0;29;2;54;54;10.06;0.72;102.72;0.80;25;0;0;192.00;0
29;0;0;29;2;54;54;10.14;0.73;102.72;0.80;25;0;0;193.00;0
29;0;0;29;3;54;54;10.27;0.74;102.72;0.80;25;0;0;194.00;0
29;0;1;29;4;55;55;9.87;0.71;102.72;0.80;26;0;0;195.00;0
29;0;0;29;3;55;55;9.83;0.71;102.72;0.80;26;0;0;196.00;0
29;0;0;29;3;55;55;9.94;0.72;102.72;0.80;26;0;0;197.00;0
29;0;0;29;4;56;56;9.47;0.68;102.72;0.79;27;0;0;198.00;0
29;0;0;29;3;56;56;9.53;0.69;102.72;0.79;27;0;0;199.00;0
29;0;0;29;4;56;56;9.64;0.69;102.72;0.79;27;0;0;200.00;0
29;0;0;29;4;56;56;9.58;0.69;102.72;0.79;27;0;0;201.00;0
29;0;1;29;5;57;57;9.41;0.68;102.72;0.79;28;0;0;202.00;0
29;0;1;29;4;57;57;9.52;0.69;102.72;0.79;28;0;0;203.00;0
29;0;1;29;4;57;57;9.63;0.69;102.72;0.79;28;0;0;204.00;0
29;0;0;29;4;57;57;9.71;0.70;102.72;0.79;28;0;0;205.00;0
29;0;0;29;5;58;58;9.37;0.67;102.72;0.79;29;0;0;206.00;0
29;0;0;29;4;58;58;9.30;0.67;102.72;0.79;29;0;0;207.00;0
29;0;0;29;5;58;58;9.40;0.68;102.72;0.79;29;0;0;208.00;0
29;0;0;29;6;59;59;9.15;0.66;102.72;0.80;30;0;0;209.00;0
29;0;0;29;5;59;59;9.15;0.66;102.72;0.80;30;0;0;210.00;0
29;0;0;29;5;59;59;9.22;0.66;102.72;0.80;30;0;0;211.00;0
29;0;0;29;5;59;59;9.38;0.68;102.72;0.80;30;0;0;212.00;0
29;0;0;29;6;60;60;9.13;0.66;102.72;0.80;31;0;0;213.00;0
29;0;0;29;5;60;60;9.30;0.67;102.72;0.80;31;0;0;214.00;0
29;0;0;29;5;60;60;9.34;0.67;102.72;0.80;31;0;0;215.00;0
29;0;0;29;6;61;61;9.18;0.66;102.72;0.79;32;0;0;216.00;0
29;0;0;29;5;61;61;9.27;0.67;102.72;0.79;32;0;0;217.00;0
29;0;0;29;5;61;61;9.36;0.67;102.72;0.79;32;0;0;218.00;0
29;0;0;29;5;61;61;9.23;0.66;102.72;0.79;32;0;0;219.00;0
29;0;0;29;6;62;62;8.97;0.65;102.72;0.79;33;0;0;220.00;0
29;0;0;29;5;62;62;8.72;0.63;102.72;0.79;33;0;0;221.00;0
29;0;0;29;7;62;62;8.44;0.61;102.72;0.79;33;0;0;222.00;0
